1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
0.99692,0.97237,0.92388,0.85264,0.76041,0.64945,0.5225,0.38268,0.23345,0.078459,-0.078459,-0.23344,-0.38268,-0.5225,-0.64945,-0.76041,-0.85264,-0.92388,-0.97237,-0.99692,
0.98769,0.89101,0.70711,0.45399,0.15643,-0.15643,-0.45399,-0.70711,-0.89101,-0.98769,-0.98769,-0.89101,-0.70711,-0.45399,-0.15644,0.15643,0.45399,0.70711,0.89101,0.98769,
0.97237,0.76041,0.38268,-0.078459,-0.5225,-0.85264,-0.99692,-0.92388,-0.64945,-0.23345,0.23344,0.64945,0.92388,0.99692,0.85264,0.5225,0.078461,-0.38268,-0.7604,-0.97237,
0.95106,0.58779,3.2679e-07,-0.58778,-0.95106,-0.95106,-0.58779,-9.8038e-07,0.58778,0.95106,0.95106,0.58779,1.634e-06,-0.58778,-0.95106,-0.95106,-0.58779,-2.2876e-06,0.58778,0.95106,
0.92388,0.38268,-0.38268,-0.92388,-0.92388,-0.38268,0.38268,0.92388,0.92388,0.38268,-0.38268,-0.92388,-0.92388,-0.38269,0.38268,0.92388,0.92388,0.38269,-0.38268,-0.92388,
0.89101,0.15643,-0.70711,-0.98769,-0.45399,0.45399,0.98769,0.70711,-0.15643,-0.89101,-0.89101,-0.15644,0.70711,0.98769,0.45399,-0.45399,-0.98769,-0.70711,0.15643,0.891,
0.85264,-0.078459,-0.92388,-0.76041,0.23344,0.97237,0.64945,-0.38268,-0.99692,-0.5225,0.5225,0.99692,0.38269,-0.64945,-0.97237,-0.23345,0.7604,0.92388,0.078463,-0.85264,
0.80902,-0.30902,-1,-0.30902,0.80902,0.80902,-0.30902,-1,-0.30902,0.80902,0.80902,-0.30901,-1,-0.30902,0.80901,0.80902,-0.30901,-1,-0.30902,0.80901,
0.76041,-0.5225,-0.92388,0.23344,0.99692,0.078461,-0.97237,-0.38269,0.85264,0.64945,-0.64945,-0.85264,0.38268,0.97237,-0.078455,-0.99692,-0.23345,0.92388,0.5225,-0.7604,
0.70711,-0.70711,-0.70711,0.70711,0.70711,-0.70711,-0.70711,0.70711,0.70711,-0.7071,-0.70711,0.7071,0.70711,-0.7071,-0.70711,0.7071,0.70711,-0.7071,-0.70711,0.7071,
0.64945,-0.85264,-0.38268,0.97237,0.078461,-0.99692,0.23344,0.92388,-0.5225,-0.76041,0.7604,0.5225,-0.92388,-0.23345,0.99692,-0.078454,-0.97237,0.38268,0.85264,-0.64944,
0.58779,-0.95106,-9.8038e-07,0.95106,-0.58778,-0.58779,0.95106,2.9412e-06,-0.95106,0.58778,0.58779,-0.95106,-4.9019e-06,0.95106,-0.58778,-0.58779,0.95105,6.8627e-06,-0.95106,0.58778,
0.5225,-0.99692,0.38268,0.64945,-0.97237,0.23344,0.76041,-0.92388,0.078455,0.85264,-0.85264,-0.078464,0.92388,-0.7604,-0.23345,0.97237,-0.64944,-0.38269,0.99692,-0.52249,
0.45399,-0.98769,0.70711,0.15644,-0.89101,0.89101,-0.15643,-0.70711,0.98769,-0.45399,-0.45399,0.98769,-0.7071,-0.15644,0.89101,-0.891,0.15643,0.70711,-0.98769,0.45398,
0.38268,-0.92388,0.92388,-0.38268,-0.38269,0.92388,-0.92388,0.38268,0.38269,-0.92388,0.92388,-0.38268,-0.38269,0.92388,-0.92388,0.38268,0.38269,-0.92388,0.92388,-0.38267,
0.30902,-0.80902,1,-0.80902,0.30901,0.30902,-0.80902,1,-0.80901,0.30901,0.30902,-0.80902,1,-0.80901,0.30901,0.30902,-0.80902,1,-0.80901,0.30901,
0.23345,-0.64945,0.92388,-0.99692,0.85264,-0.5225,0.078455,0.38269,-0.76041,0.97237,-0.97237,0.7604,-0.38268,-0.078467,0.52251,-0.85264,0.99692,-0.92388,0.64944,-0.23343,
0.15643,-0.45399,0.70711,-0.89101,0.98769,-0.98769,0.891,-0.7071,0.45399,-0.15643,-0.15644,0.454,-0.70711,0.89101,-0.98769,0.98769,-0.891,0.7071,-0.45398,0.15642,
0.078459,-0.23345,0.38268,-0.5225,0.64945,-0.76041,0.85264,-0.92388,0.97237,-0.99692,0.99692,-0.97237,0.92388,-0.85264,0.7604,-0.64944,0.52249,-0.38267,0.23343,-0.078447,
